codigo_pedido;data_pedido;data_entrega;codigo_produto 1;codigo_produto 2;codigo_produto 3;codigo_produto4;quantidade;codigo_canal 1;codigo_canal 2;codigo_canal 3;codigo_canal 4;sts
83;01/05/2018;01/05/2018;PRP055;BT0024;1282;;480;10-50-60;3050;2029650B;2028080;
84;01/05/2018;01/05/2018;PRP066;BT0024;1002;;456;10-50-60;3050;2029650B;2028080;
85;01/05/2018;01/05/2018;PRP025;BT0008;47812;;2160;10-50-60;3050;2029650B;2028080;
86;01/05/2018;01/05/2018;PRP025;BT0008;4523;;1140;10-50-60;3050;2029650B;2028080;
87;01/05/2018;01/05/2018;PRP138;BT0024;144R;;264;10-50-60;3050;2029650B;2028080;
88;01/05/2018;01/05/2018;PRP066;BT0052;BT3030WM;;432;10-50-60;3050;2029650B;2028080;
89;01/05/2018;01/05/2018;PRP138;BT0024;BT1922;;96;10-50-60;3050;2029650B;2028080;
90;01/05/2018;01/05/2018;PRP067;BT0052;BT4072WM;;525;10-50-60;3050;2029650B;2028080;
91;01/05/2018;01/05/2018;PRP138;BT0024;1382;;120;10-50-60;3050;2029650B;2028080;
92;01/05/2018;01/05/2018;PRP021;BT0052;BT567WM;;288;10-50-60;3050;2029650B;2028080;
93;01/05/2018;01/05/2018;PRP021;BT0052;BT570WM;;324;10-50-60;3050;2029650B;2028080;
94;01/05/2018;01/05/2018;PRP021;BT0024;115;;360;10-50-60;3050;2029650B;2028080;
95;01/05/2018;01/05/2018;PRP046;BT0008;4951;;24;10-50-60;3050;2029650B;2028080;
96;01/05/2018;01/05/2018;PRP025;BT0008;4544;;42000;10-50-60;3050;2028076B;2028076;
97;01/05/2018;01/05/2018;PRP025;BT0008;45012;;120000;10-50-60;3050;2028076B;2028076;
98;01/05/2018;01/05/2018;PRP067;BT0024;BT1672M4;;6045;10-50-60;3050;2028076B;2028076;
99;01/05/2018;01/05/2018;PRP138;BT0024;1442;;1200;10-50-60;3050;2028076B;2028076;
100;01/05/2018;01/05/2018;PRP138;BT0024;132R;;3780;10-50-60;3050;2028076B;2028076;
101;01/05/2018;01/05/2018;PRP025;BT0008;45212;;14400;10-50-60;3050;2028076B;2028076;
102;01/05/2018;01/05/2018;PRP046;BT0008;49055;;6500;10-50-60;3050;2028076B;2028076;
103;01/05/2018;01/05/2018;PRP138;BT0024;BT1972;;300;10-50-60;3050;2028076B;2028076;
104;01/05/2018;01/05/2018;PRP047;BT0024;150;;720;10-50-60;3050;2028076B;2028076;
105;01/05/2018;01/05/2018;PRP138;BT0024;144R;;600;10-50-60;3050;2028076B;2028076;
106;01/05/2018;01/05/2018;PRP067;BT0024;1632;;660;10-50-60;3050;2028076B;2028076;
107;01/05/2018;01/05/2018;PRP021;BT0024;11412;;1440;10-50-60;3050;2028076B;2028076;
108;01/05/2018;01/05/2018;PRP046;BT0008;49057;;2500;10-50-60;3050;2028076B;2028076;
109;01/05/2018;01/05/2018;PRP025;BT0008;BT002K;;1000;10-50-60;3050;2028076B;2028076;
110;01/05/2018;01/05/2018;PRP025;BT0008;47812;;4200;10-50-60;3050;2028076B;2028076;
111;01/05/2018;01/05/2018;PRP138;BT0024;138R;;600;10-50-60;3050;2028076B;2028076;
112;01/05/2018;01/05/2018;PRP021;BT0024;21526;;3120;10-50-60;3050;2028076B;2028076;
113;01/05/2018;01/05/2018;PRP108;BT0008;BT303;;1560;10-50-60;3050;2028076B;2028076;
114;01/05/2018;01/05/2018;PRP138;BT0024;1382;;420;10-50-60;3050;2028076B;2028076;
115;01/05/2018;01/05/2018;PRP079;BT0008;BTN13000P;;1200;10-50-60;3050;2028076B;2028076;
116;01/05/2018;01/05/2018;PRP108;BT0008;BT302;;1800;10-50-60;3050;2028076B;2028076;
117;01/05/2018;01/05/2018;PRP108;BT0008;BT304;;1200;10-50-60;3050;2028076B;2028076;
118;01/05/2018;01/05/2018;PRP021;BT0024;112;;1440;10-50-60;3050;2028076B;2028076;
119;01/05/2018;01/05/2018;PRP021;BT0059;567;;660;10-50-60;3050;2028076B;2028076;
120;01/05/2018;01/05/2018;PRP047;BT0024;1456;;1080;10-50-60;3050;2028076B;2028076;
121;01/05/2018;01/05/2018;PRP066;BT0024;1842;;120;10-50-60;3050;2028076B;2028076;
122;01/05/2018;01/05/2018;PRP021;BT0024;11518;;1080;10-50-60;3050;2028076B;2028076;
123;01/05/2018;01/05/2018;PRP079;BT0008;BTN13000G;;948;10-50-60;3050;2028076B;2028076;
124;01/05/2018;01/05/2018;PRP025;BT0008;45612;;3000;10-50-60;3050;2028076B;2028076;
125;01/05/2018;01/05/2018;PRP067;BT0024;1182;;240;10-50-60;3050;2028076B;2028076;
126;01/05/2018;01/05/2018;PRP067;BT0024;BT164215;;300;10-50-60;3050;2028076B;2028076;
127;01/05/2018;01/05/2018;PRP025;BT0008;453;;1200;10-50-60;3050;2028076B;2028076;
128;01/05/2018;01/05/2018;PRP079;BT0008;BTN13002G;;600;10-50-60;3050;2028076B;2028076;
129;01/05/2018;01/05/2018;PRP021;BT0024;BT250;;900;10-50-60;3050;2028076B;2028076;
130;01/05/2018;01/05/2018;PRP055;BT0024;1252;;300;10-50-60;3050;2028076B;2028076;
131;01/05/2018;01/05/2018;PRP079;BT0008;BTN13004M;;600;10-50-60;3050;2028076B;2028076;
132;01/05/2018;01/05/2018;PRP055;BT0024;1282;;300;10-50-60;3050;2028076B;2028076;
133;01/05/2018;01/05/2018;PRP001;BT0059;BT479;;150;10-50-60;3050;2028076B;2028076;
134;01/05/2018;01/05/2018;PRP001;BT0024;499;;300;10-50-60;3050;2028076B;2028076;
135;01/05/2018;01/05/2018;PRP021;BT0059;5708;;480;10-50-60;3050;2028076B;2028076;
136;01/05/2018;01/05/2018;PRP055;BT0024;1212;;180;10-50-60;3050;2028076B;2028076;
137;01/05/2018;01/05/2018;PRP001;BT0024;489;;360;10-50-60;3050;2028076B;2028076;
138;01/05/2018;01/05/2018;PRP001;BT0008;321512;;720;10-50-60;3050;2028076B;2028076;
139;01/05/2018;01/05/2018;PRP046;BT0008;49056;;625;10-50-60;3050;2028076B;2028076;
140;01/05/2018;01/05/2018;PRP138;BT0024;BT1902;;20;10-50-60;3050;2028076B;2028076;
141;01/05/2018;01/05/2018;PRP025;BT0008;458;;600;10-50-60;3050;2028076B;2028076;
142;01/05/2018;01/05/2018;PRP055;BT0008;611;;180;10-50-60;3050;2028076B;2028076;
143;01/05/2018;01/05/2018;PRP051;BT0059;BT5810;;1500;10-50-60;3050;2028076B;2028076;
144;01/05/2018;01/05/2018;PRP055;BT0024;1292;;120;10-50-60;3050;2028076B;2028076;
145;01/05/2018;01/05/2018;PRP108;BT0008;BT301;;600;10-50-60;3050;2028076B;2028076;
146;01/05/2018;01/05/2018;PRP021;BT0024;113;;540;10-50-60;3050;2028076B;2028076;
147;01/05/2018;01/05/2018;PRP025;BT0010;46612;;600;10-50-60;3050;2028076B;2028076;
148;01/05/2018;01/05/2018;PRP001;BT0008;321012;;720;10-50-60;3050;2028076B;2028076;
149;01/05/2018;01/05/2018;PRP025;BT0010;46512;;600;10-50-60;3050;2028076B;2028076;
150;01/05/2018;01/05/2018;PRP079;BT0008;BTN13002P;;300;10-50-60;3050;2028076B;2028076;
151;01/05/2018;01/05/2018;PRP066;BT0024;1882;;60;10-50-60;3050;2028076B;2028076;
152;01/05/2018;01/05/2018;PRP051;BT0024;BT800;;180;10-50-60;3050;2028076B;2028076;
153;01/05/2018;01/05/2018;PRP051;BT0059;BT5820;;240;10-50-60;3050;2028076B;2028076;
154;01/05/2018;01/05/2018;PRP021;BT0024;BT271;;120;10-50-60;3050;2028076B;2028076;
155;01/05/2018;01/05/2018;PRP138;BT0024;134R;;36;10-50-60;3050;2028076B;2028076;
156;01/05/2018;01/05/2018;PRP025;BT0010;46712;;720;10-50-60;3050;2028076B;2028076;
157;01/05/2018;01/05/2018;PRP046;BT0008;BT5001;;6250;10-50-60;3050;2028076B;2028076;
158;01/05/2018;01/05/2018;PRP021;BT0024;605;;120;10-50-60;3050;2028076B;2028076;
159;01/05/2018;01/05/2018;PRP001;BT0024;201;;120;10-50-60;3050;2028076B;2028076;
160;01/05/2018;01/05/2018;PRP051;BT0024;BT702;;240;10-50-60;3050;2028076B;2028076;
161;01/05/2018;01/05/2018;PRP108;BT0008;BT307;;84;10-50-60;3050;2028076B;2028076;
162;01/05/2018;01/05/2018;PRP025;BT0061;BT2059;;700;10-50-60;3050;2028076B;2028076;
163;01/05/2018;01/05/2018;PRP067;BT0024;1662;;50;10-50-60;3050;2028076B;2028076;
164;01/05/2018;01/05/2018;PRP025;BT0008;4563;;300;10-50-60;3050;2028076B;2028076;
165;01/05/2018;01/05/2018;PRP021;BT0010;850;;120;10-50-60;3050;2028076B;2028076;
166;01/05/2018;01/05/2018;PRP021;BT0024;BT260;;120;10-50-60;3050;2028076B;2028076;
167;01/05/2018;01/05/2018;PRP047;BT0024;BT140;;30;10-50-60;3050;2028076B;2028076;
168;01/05/2018;01/05/2018;PRP077;BT0024;45;;60;10-50-60;3050;2028076B;2028076;
169;01/05/2018;01/05/2018;PRP055;BT0024;BT1222;;60;10-50-60;3050;2028076B;2028076;
170;01/05/2018;01/05/2018;PRP055;BT0024;BT1232;;60;10-50-60;3050;2028076B;2028076;
171;01/05/2018;01/05/2018;PRP046;BT0008;BTN49065;;72;10-50-60;3050;2028076B;2028076;
172;01/05/2018;01/05/2018;PRP046;BT0008;4933;;75;10-50-60;3050;2028076B;2028076;
173;01/05/2018;01/05/2018;PRP051;BT0024;BT712;;72;10-50-60;3050;2028076B;2028076;
174;01/05/2018;01/05/2018;PRP108;BT0008;BT305;;36;10-50-60;3050;2028076B;2028076;
175;01/05/2018;01/05/2018;PRP108;BT0008;BT306;;36;10-50-60;3050;2028076B;2028076;
176;01/05/2018;01/05/2018;PRP138;BT0024;BT192R;;18;10-50-60;3050;2028076B;2028076;
177;01/05/2018;01/05/2018;PRP051;BT0024;BT700;;60;10-50-60;3050;2028076B;2028076;
178;01/05/2018;01/05/2018;PRP067;BT0024;BT1672M4;;6750;10-50-60;3050;2019042B;2079585;
179;01/05/2018;01/05/2018;PRP108;BT0008;BT307;;1800;10-50-60;3050;2019042B;2079585;
180;01/05/2018;01/05/2018;PRP138;BT0024;BT1389;;120;10-50-60;3050;2019042B;2079585;
181;01/05/2018;01/05/2018;PRP108;BT0008;BT308;;1560;10-50-60;3050;2019042B;2079585;
182;01/05/2018;01/05/2018;PRP108;BT0008;BT306;;2040;10-50-60;3050;2019042B;2079585;
183;01/05/2018;01/05/2018;PRP138;BT0024;144R;;540;10-50-60;3050;2019042B;2079585;
184;01/05/2018;01/05/2018;PRP025;BT0061;BT4514D144;;5760;10-50-60;3050;2019042B;2079585;
185;01/05/2018;01/05/2018;PRP046;BT0008;BTN49060;;1950;10-50-60;3050;2019042B;2079585;
186;01/05/2018;01/05/2018;PRP025;BT0008;452;;4200;10-50-60;3050;2019042B;2079585;
187;01/05/2018;01/05/2018;PRP108;BT0061;BT2058;;1200;10-50-60;3050;2019042B;2079585;
188;01/05/2018;01/05/2018;PRP108;BT0061;BT2057;;1200;10-50-60;3050;2019042B;2079585;
189;01/05/2018;01/05/2018;PRP108;BT0061;BT2056;;1200;10-50-60;3050;2019042B;2079585;
190;01/05/2018;01/05/2018;PRP025;BT0008;45012;;8400;10-50-60;3050;2019042B;2079585;
191;01/05/2018;01/05/2018;PRP108;BT0008;BT304;;2184;10-50-60;3050;2019042B;2079585;
192;01/05/2018;01/05/2018;PRP108;BT0061;BT2055;;960;10-50-60;3050;2019042B;2079585;
193;01/05/2018;01/05/2018;PRP138;BT0024;BTN1389R;;360;10-50-60;3050;2019042B;2079585;
194;01/05/2018;01/05/2018;PRP046;BT0008;BTN49066;;720;10-50-60;3050;2019042B;2079585;
195;01/05/2018;01/05/2018;PRP025;BT0061;45110;;12000;10-50-60;3050;2019042B;2079585;
196;01/05/2018;01/05/2018;PRP138;BT0061;BT2053;;240;10-50-60;3050;2019042B;2079585;
197;01/05/2018;01/05/2018;PRP079;BT0008;BTN13002P;;972;10-50-60;3050;2019042B;2079585;
198;01/05/2018;01/05/2018;PRP079;BT0008;BTN13002M;;972;10-50-60;3050;2019042B;2079585;
199;01/05/2018;01/05/2018;PRP079;BT0008;BTN13002G;;972;10-50-60;3050;2019042B;2079585;
200;01/05/2018;01/05/2018;PRP079;BT0008;BTN13000G;;972;10-50-60;3050;2019042B;2079585;
201;01/05/2018;01/05/2018;PRP079;BT0008;BTN13000P;;960;10-50-60;3050;2019042B;2079585;
202;01/05/2018;01/05/2018;PRP003;BT0024;1384;;180;10-50-60;3050;2019042B;2079585;
203;01/05/2018;01/05/2018;PRP108;BT0008;BT303;;1440;10-50-60;3050;2019042B;2079585;
204;01/05/2018;01/05/2018;PRP025;BT0008;47812;;2400;10-50-60;3050;2019042B;2079585;
205;01/05/2018;01/05/2018;PRP108;BT0008;BT305;;600;10-50-60;3050;2019042B;2079585;
206;01/05/2018;01/05/2018;PRP108;BT0008;BT311;;750;10-50-60;3050;2019042B;2079585;
207;01/05/2018;01/05/2018;PRP046;BT0008;4933;;600;10-50-60;3050;2019042B;2079585;
208;01/05/2018;01/05/2018;PRP021;BT0059;567;;480;10-50-60;3050;2019042B;2079585;
209;01/05/2018;01/05/2018;PRP055;BT0024;1272;;360;10-50-60;3050;2019042B;2079585;
210;01/05/2018;01/05/2018;PRP108;BT0008;BT302;;1440;10-50-60;3050;2019042B;2079585;
211;01/05/2018;01/05/2018;PRP021;BT0024;215;;1440;10-50-60;3050;2019042B;2079585;
212;01/05/2018;01/05/2018;PRP046;BT0008;BT4991;;360;10-50-60;3050;2019042B;2079585;
213;01/05/2018;01/05/2018;PRP066;BT0024;1842;;80;10-50-60;3050;2019042B;2079585;
214;01/05/2018;01/05/2018;PRP138;BT0024;1352;;90;10-50-60;3050;2019042B;2079585;
215;01/05/2018;01/05/2018;PRP138;BT0024;BT1922;;90;10-50-60;3050;2019042B;2079585;
216;01/05/2018;01/05/2018;PRP021;BT0024;114;;360;10-50-60;3050;2019042B;2079585;
217;01/05/2018;01/05/2018;PRP046;BT0008;4971;;120;10-50-60;3050;2019042B;2079585;
218;01/05/2018;01/05/2018;PRP138;BT0024;BT190R;;120;10-50-60;3050;2019042B;2079585;
219;01/05/2018;01/05/2018;PRP055;BT0008;611;;180;10-50-60;3050;2019042B;2079585;
220;01/05/2018;01/05/2018;PRP046;BT0008;BT4983;;360;10-50-60;3050;2019042B;2079585;
221;01/05/2018;01/05/2018;PRP047;BT0024;BT120;;180;10-50-60;3050;2019042B;2079585;
222;01/05/2018;01/05/2018;PRP138;BT0024;BT1972;;30;10-50-60;3050;2019042B;2079585;
223;01/05/2018;01/05/2018;PRP138;BT0024;138R;;120;10-50-60;3050;2019042B;2079585;
224;01/05/2018;01/05/2018;PRP108;BT0008;BT301;;720;10-50-60;3050;2019042B;2079585;
225;01/05/2018;01/05/2018;PRP047;BT0024;145;;360;10-50-60;3050;2019042B;2079585;
226;01/05/2018;01/05/2018;PRP046;BT0008;BT5005;;120;10-50-60;3050;2019042B;2079585;
227;01/05/2018;01/05/2018;PRP046;BT0008;BT4981;;240;10-50-60;3050;2019042B;2079585;
228;01/05/2018;01/05/2018;PRP138;BT0024;BT191R;;30;10-50-60;3050;2019042B;2079585;
229;01/05/2018;01/05/2018;PRP138;BT0024;1382;;60;10-50-60;3050;2019042B;2079585;
230;01/05/2018;01/05/2018;PRP001;BT0024;499;;120;10-50-60;3050;2019042B;2079585;
231;01/05/2018;01/05/2018;PRP055;BT0024;1292;;60;10-50-60;3050;2019042B;2079585;
232;01/05/2018;01/05/2018;PRP067;BT0024;1182;;60;10-50-60;3050;2019042B;2079585;
233;01/05/2018;01/05/2018;PRP067;BT0024;BT164215;;75;10-50-60;3050;2019042B;2079585;
234;01/05/2018;01/05/2018;PRP067;BT0024;1632;;60;10-50-60;3050;2019042B;2079585;
235;01/05/2018;01/05/2018;PRP138;BT0061;BTN2051R;;60;10-50-60;3050;2019042B;2079585;
236;01/05/2018;01/05/2018;PRP001;BT0024;BT202;;120;10-50-60;3050;2019042B;2079585;
237;01/05/2018;01/05/2018;PRP046;BT0008;4941;;120;10-50-60;3050;2019042B;2079585;
238;01/05/2018;01/05/2018;PRP067;BT0024;BT167215;;15525;10-50-60;3050;2068821B;2068821;
239;01/05/2018;01/05/2018;PRP025;BT0008;4544;;36000;10-50-60;3050;2068821B;2068821;
240;01/05/2018;01/05/2018;PRP025;BT0008;45012;;72000;10-50-60;3050;2068821B;2068821;
241;01/05/2018;01/05/2018;PRP025;BT0061;BT4514D144;;23040;10-50-60;3050;2068821B;2068821;
242;01/05/2018;01/05/2018;PRP021;BT0024;11518;;6912;10-50-60;3050;2068821B;2068821;
243;01/05/2018;01/05/2018;PRP025;BT0061;451;;18000;10-50-60;3050;2068821B;2068821;
244;01/05/2018;01/05/2018;PRP025;BT0008;45212;;3600;10-50-60;3050;2068821B;2068821;
245;01/05/2018;01/05/2018;PRP067;BT0061;BT2003;;750;10-50-60;3050;2068821B;2068821;
246;01/05/2018;01/05/2018;PRP025;BT0008;45612;;2400;10-50-60;3050;2068821B;2068821;
247;01/05/2018;01/05/2018;PRP055;BT0024;1272;;240;10-50-60;3050;2068821B;2068821;
248;01/05/2018;01/05/2018;PRP025;BT0010;46512;;720;10-50-60;3050;2068821B;2068821;
249;01/05/2018;01/05/2018;PRP021;BT0059;565;;240;10-50-60;3050;2068821B;2068821;
250;01/05/2018;01/05/2018;PRP067;BT0024;BT164215;;150;10-50-60;3050;2068821B;2068821;
251;01/05/2018;01/05/2018;PRP025;BT0010;46712;;576;10-50-60;3050;2068821B;2068821;
252;01/05/2018;01/05/2018;PRP138;BT0061;BTN2023R;;120;10-50-60;3050;2068821B;2068821;
253;01/05/2018;01/05/2018;PRP067;BT0024;BT167215;;15000;10-50-60;3050;2029278B;2029278;
254;01/05/2018;01/05/2018;PRP025;BT0008;4544D144;;10080;10-50-60;3050;2029278B;2029278;
255;01/05/2018;01/05/2018;PRP067;BT0024;1692;;2052;10-50-60;3050;2029278B;2029278;
256;01/05/2018;01/05/2018;PRP025;BT0008;45212;;12600;10-50-60;3050;2029278B;2029278;
257;01/05/2018;01/05/2018;PRP003;BT0024;1384;;696;10-50-60;3050;2029278B;2029278;
258;01/05/2018;01/05/2018;PRP138;BT0061;BTN2023R;;2112;10-50-60;3050;2029278B;2029278;
259;01/05/2018;01/05/2018;PRP025;BT0061;BT4514D144;;7200;10-50-60;3050;2029278B;2029278;
260;01/05/2018;01/05/2018;PRP025;BT0008;4544;;4200;10-50-60;3050;2029278B;2029278;
261;01/05/2018;01/05/2018;PRP025;BT0061;45110;;18000;10-50-60;3050;2029278B;2029278;
262;01/05/2018;01/05/2018;PRP138;BT0061;BT2023;;924;10-50-60;3050;2029278B;2029278;
263;01/05/2018;01/05/2018;PRP025;BT0061;451;;12000;10-50-60;3050;2029278B;2029278;
